,ID,Name,RGB,Num Parts,Num Sets,First Year,Last Year,Link
0,320,Dark Red,720E0F,32620,8033,2001,2022,https://rebrickable.com/colors/320/dark-red/
1,100,Light Salmon,FEBABD,171,106,1997,1999,https://rebrickable.com/colors/100/light-salmon/
2,77,Light Pink,FECCCF,13,12,1994,2007,https://rebrickable.com/colors/77/light-pink/
3,1037,Modulex Violet,BD7D85,7,7,1963,1963,https://rebrickable.com/colors/1037/modulex-violet/
4,1087,Duplo Pink,FF879C,59,27,1992,1993,https://rebrickable.com/colors/1087/duplo-pink/
5,1069,Pearl Red,D60026,21,13,2003,2006,https://rebrickable.com/colors/1069/pearl-red/
6,13,Pink,FC97AC,611,306,1991,2006,https://rebrickable.com/colors/13/pink/
7,1050,Coral,FF698F,3497,679,2019,2022,https://rebrickable.com/colors/1050/coral/
8,1038,Modulex Pink,F785B1,17,17,1963,1963,https://rebrickable.com/colors/1038/modulex-pink/
9,351,Medium Dark Pink,F785B1,988,551,1994,2005,https://rebrickable.com/colors/351/medium-dark-pink/
10,45,Trans-Dark Pink,DF6695,4036,1434,1998,2022,https://rebrickable.com/colors/45/trans-dark-pink/
11,114,Glitter Trans-Dark Pink,DF6695,230,48,1999,2022,https://rebrickable.com/colors/114/glitter-trans-dark-pink/
12,1082,Clikits Pink,FE78B0,33,10,2006,2006,https://rebrickable.com/colors/1082/clikits-pink/
13,69,Light Purple,CD6298,83,38,2003,2007,https://rebrickable.com/colors/69/light-purple/
14,230,Trans-Pink,E4ADC8,432,171,2000,2006,https://rebrickable.com/colors/230/trans-pink/
15,29,Bright Pink,E4ADC8,9761,3205,2003,2022,https://rebrickable.com/colors/29/bright-pink/
16,5,Dark Pink,C870A0,8592,2945,2003,2022,https://rebrickable.com/colors/5/dark-pink/
17,1054,Trans-Medium Reddish Violet Opal,CE1D9B,30,20,2020,2022,https://rebrickable.com/colors/1054/trans-medium-reddish-violet-opal/
18,26,Magenta,923978,8338,3090,2000,2022,https://rebrickable.com/colors/26/magenta/
19,63,Chrome Pink,AA4D8E,40,26,2001,2018,https://rebrickable.com/colors/63/chrome-pink/
20,22,Purple,81007B,997,335,1996,2005,https://rebrickable.com/colors/22/purple/
21,373,Sand Purple,845E84,72,20,2001,2003,https://rebrickable.com/colors/373/sand-purple/
22,1007,Reddish Lilac,8E5597,49,22,2004,2005,https://rebrickable.com/colors/1007/reddish-lilac/
23,236,Trans-Light Purple,96709F,68,35,2000,2006,https://rebrickable.com/colors/236/trans-light-purple/
24,30,Medium Lavender,AC78BA,4971,1930,2011,2022,https://rebrickable.com/colors/30/medium-lavender/
25,1059,Trans-Purple Opal,8320B7,5,5,2020,2020,https://rebrickable.com/colors/1059/trans-purple-opal/
26,1046,Modulex Foil Violet,4B0082,0,0,,,https://rebrickable.com/colors/1046/modulex-foil-violet/
27,31,Lavender,E1D5ED,4173,1141,2011,2022,https://rebrickable.com/colors/31/lavender/
28,1018,Modulex Black,4D4C52,2486,298,1963,1963,https://rebrickable.com/colors/1018/modulex-black/
29,85,Dark Purple,3F3691,11170,4123,2000,2022,https://rebrickable.com/colors/85/dark-purple/
30,1001,Medium Violet,9391E4,9,9,2000,2005,https://rebrickable.com/colors/1001/medium-violet/
31,129,Glitter Trans-Purple,A5A5CB,114,56,2000,2022,https://rebrickable.com/colors/129/glitter-trans-purple/
32,52,Trans-Purple,A5A5CB,1998,734,2000,2022,https://rebrickable.com/colors/52/trans-purple/
33,20,Light Violet,C9CAE2,184,122,1994,2005,https://rebrickable.com/colors/20/light-violet/
34,23,Dark Blue-Violet,2032B0,9,9,2004,2006,https://rebrickable.com/colors/23/dark-blue-violet/
35,112,Medium Bluish Violet,6874CA,42,35,1999,2004,https://rebrickable.com/colors/112/medium-bluish-violet/
36,89,Royal Blue,4C61DB,184,63,2004,2005,https://rebrickable.com/colors/89/royal-blue/
37,33,Trans-Dark Blue,0020A0,9091,2875,1965,2022,https://rebrickable.com/colors/33/trans-dark-blue/
38,1061,Trans-Dark Blue Opal,0020A0,52,14,2021,2022,https://rebrickable.com/colors/1061/trans-dark-blue-opal/
39,110,Violet,4354A3,195,123,1999,2008,https://rebrickable.com/colors/110/violet/
40,1014,Modulex Light Bluish Gray,AfB5C7,10,10,1963,1963,https://rebrickable.com/colors/1014/modulex-light-bluish-gray/
41,1073,Pearl Black,0A1327,30,17,2003,2006,https://rebrickable.com/colors/1073/pearl-black/
42,379,Sand Blue,6074A1,5159,1610,2001,2022,https://rebrickable.com/colors/379/sand-blue/
43,137,Metal Blue,7988A1,143,74,2002,2006,https://rebrickable.com/colors/137/metal-blue/
44,1,Blue,0055BF,166716,40908,1949,2022,https://rebrickable.com/colors/1/blue/
45,73,Medium Blue,5A93DB,12353,3175,1984,2022,https://rebrickable.com/colors/73/medium-blue/
46,272,Dark Blue,0A3463,32750,8960,1997,2022,https://rebrickable.com/colors/272/dark-blue/
47,1006,Trans-Light Royal Blue,B4D4F7,100,54,2001,2005,https://rebrickable.com/colors/1006/trans-light-royal-blue/
48,143,Trans-Medium Blue,CFE2F7,735,254,2001,2018,https://rebrickable.com/colors/143/trans-medium-blue/
49,1035,Modulex Medium Blue,61AFFF,7,7,1963,1963,https://rebrickable.com/colors/1035/modulex-medium-blue/
50,212,Bright Light Blue,9FC3E9,3268,1108,2004,2022,https://rebrickable.com/colors/212/bright-light-blue/
51,1044,Modulex Foil Dark Blue,0057A6,0,0,,,https://rebrickable.com/colors/1044/modulex-foil-dark-blue/
52,1034,Modulex Tile Blue,0057A6,80,80,1963,1963,https://rebrickable.com/colors/1034/modulex-tile-blue/
53,61,Chrome Blue,6C96BF,25,16,1998,2006,https://rebrickable.com/colors/61/chrome-blue/
54,1070,Pearl Blue,0059A3,21,16,2003,2009,https://rebrickable.com/colors/1070/pearl-blue/
55,1040,Modulex Foil Dark Gray,595D60,0,0,,,https://rebrickable.com/colors/1040/modulex-foil-dark-gray/
56,1016,Modulex Charcoal Gray,595D60,2,2,1963,1963,https://rebrickable.com/colors/1016/modulex-charcoal-gray/
57,75,Speckle Black-Copper,05131D,10,7,2006,2006,https://rebrickable.com/colors/75/speckle-black-copper/
58,133,Speckle Black-Gold,05131D,5,5,2010,2011,https://rebrickable.com/colors/133/speckle-black-gold/
59,132,Speckle Black-Silver,05131D,224,89,2005,2013,https://rebrickable.com/colors/132/speckle-black-silver/
60,9,Light Blue,B4D2E3,67,51,1995,2007,https://rebrickable.com/colors/9/light-blue/
61,43,Trans-Very Lt Blue,C1DFF0,233,77,2003,2006,https://rebrickable.com/colors/43/trans-very-lt-blue/
62,313,Maersk Blue,3592C3,469,101,1974,2006,https://rebrickable.com/colors/313/maersk-blue/
63,321,Dark Azure,078BC9,8363,2923,2011,2022,https://rebrickable.com/colors/321/dark-azure/
64,1036,Modulex Pastel Blue,68AECE,18,18,1963,1963,https://rebrickable.com/colors/1036/modulex-pastel-blue/
65,1045,Modulex Foil Light Blue,68AECE,0,0,,,https://rebrickable.com/colors/1045/modulex-foil-light-blue/
66,1033,Modulex Teal Blue,467083,1104,15,1963,1963,https://rebrickable.com/colors/1033/modulex-teal-blue/
67,232,Sky Blue,7DBFDD,122,54,2003,2007,https://rebrickable.com/colors/232/sky-blue/
68,1075,Duplo Medium Blue,3E95B6,0,0,,,https://rebrickable.com/colors/1075/duplo-medium-blue/
69,1074,Duplo Blue,009ECE,4,4,2003,2004,https://rebrickable.com/colors/1074/duplo-blue/
70,1008,Vintage Blue,039CBD,24,4,1949,1949,https://rebrickable.com/colors/1008/vintage-blue/
71,1051,Pastel Blue,5AC4DA,727,94,2005,2011,https://rebrickable.com/colors/1051/pastel-blue/
72,322,Medium Azure,36AEBF,15679,5383,2012,2022,https://rebrickable.com/colors/322/medium-azure/
73,11,Light Turquoise,55A5AF,138,75,1998,2004,https://rebrickable.com/colors/11/light-turquoise/
74,1053,Trans-Blue Opal,68BCC5,351,79,2020,2022,https://rebrickable.com/colors/1053/trans-blue-opal/
75,1003,Glitter Trans-Light Blue,68BCC5,87,39,2015,2022,https://rebrickable.com/colors/1003/glitter-trans-light-blue/
76,3,Dark Turquoise,008F9B,10751,2688,1998,2022,https://rebrickable.com/colors/3/dark-turquoise/
